epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12403.7,0.13938,0.49003,0.93242,0.74577,0.91789,0.90657,0.90138,0.29895,0.67854,0.42621,0.000990365,0.000990365,0.000990365
43,12697.4,0.14481,0.53477,0.93657,0.74924,0.74235,0.73148,0.72423,0.3681,1.20505,0.55813,0.000973861,0.000973861,0.000973861
44,12994.2,0.1335,0.50848,0.93218,0.77826,0.89999,0.91377,0.88782,0.25987,0.7102,0.40509,0.000957358,0.000957358,0.000957358
45,13286.9,0.14766,0.52251,0.94695,0.56634,0.83939,0.78717,0.78686,0.25161,1.4848,0.37262,0.000940855,0.000940855,0.000940855
46,13590,0.13309,0.49274,0.92218,0.8129,0.87284,0.8649,0.8649,0.22856,0.66466,0.3599,0.000924352,0.000924352,0.000924352
47,13902.9,0.13204,0.47569,0.92586,0.79221,0.94079,0.96377,0.95223,0.31482,0.78006,0.49516,0.000907848,0.000907848,0.000907848
48,14204.6,0.13679,0.52425,0.94004,0.78779,0.78738,0.80459,0.80459,0.21936,1.46025,0.35211,0.000891345,0.000891345,0.000891345
49,14503.5,0.13901,0.48875,0.93402,0.78719,0.78065,0.95881,0.95881,0.25357,1.58027,0.38266,0.000874842,0.000874842,0.000874842
50,14808.5,0.13058,0.49796,0.92614,0.76632,0.70215,0.72635,0.72424,0.36487,1.51438,0.50779,0.000858338,0.000858338,0.000858338
51,15110.2,0.13351,0.49132,0.93579,0.81175,0.85481,0.94942,0.93985,0.27793,1.00704,0.40595,0.000841835,0.000841835,0.000841835
52,15416.3,0.12377,0.46644,0.92819,0.67286,0.81358,0.89903,0.89363,0.27045,1.33012,0.402,0.000825332,0.000825332,0.000825332
53,15719.2,0.12665,0.47405,0.92134,0.9383,0.94911,0.98569,0.98569,0.23629,0.40237,0.32878,0.000808828,0.000808828,0.000808828
54,16020.6,0.12355,0.46008,0.91945,0.86841,0.87434,0.95061,0.94536,0.25651,0.68257,0.40333,0.000792325,0.000792325,0.000792325
55,16321.7,0.12419,0.46931,0.92815,0.86513,0.80905,0.81554,0.80839,0.29065,0.76181,0.43268,0.000775822,0.000775822,0.000775822
56,16624.9,0.12615,0.48217,0.93269,0.76234,0.89243,0.85428,0.84985,0.25098,0.68776,0.39801,0.000759318,0.000759318,0.000759318
57,16925.4,0.11632,0.45724,0.92344,0.75878,0.83553,0.91293,0.91178,0.23363,1.24831,0.37497,0.000742815,0.000742815,0.000742815
58,17233.1,0.12147,0.48177,0.92697,0.9308,0.93606,0.98529,0.97667,0.34447,0.50733,0.48525,0.000726312,0.000726312,0.000726312
59,17534.5,0.12808,0.46481,0.93048,0.83807,0.88341,0.93701,0.93649,0.28825,0.56123,0.43681,0.000709809,0.000709809,0.000709809
60,17832.9,0.1206,0.46429,0.92573,0.76423,0.86842,0.91583,0.9109,0.27448,1.07239,0.41619,0.000693305,0.000693305,0.000693305
61,18133.5,0.11982,0.45314,0.91933,0.70691,0.86408,0.89036,0.86689,0.33327,1.36526,0.51499,0.000676802,0.000676802,0.000676802
62,18436.8,0.11995,0.45738,0.91691,0.76692,0.86842,0.93796,0.91466,0.31018,1.12318,0.44806,0.000660299,0.000660299,0.000660299
63,18742.8,0.11478,0.45182,0.91936,0.7843,0.67695,0.70728,0.70639,0.25482,2.26854,0.39226,0.000643795,0.000643795,0.000643795
64,19033.1,0.109,0.46698,0.92181,0.65347,0.94382,0.95903,0.95468,0.24646,1.33319,0.36654,0.000627292,0.000627292,0.000627292
65,19316.5,0.11544,0.45066,0.91987,0.9378,0.93464,0.98707,0.98581,0.25182,0.37333,0.35955,0.000610789,0.000610789,0.000610789
66,19627.7,0.11302,0.46671,0.92766,0.74945,0.80961,0.8745,0.87347,0.23185,0.8689,0.34548,0.000594286,0.000594286,0.000594286
67,19924.9,0.10362,0.46124,0.91206,0.80476,0.85455,0.94455,0.94087,0.31364,1.14381,0.44248,0.000577782,0.000577782,0.000577782
68,20252.5,0.10952,0.4305,0.93369,0.96247,0.93799,0.98519,0.98194,0.23543,0.40084,0.36257,0.000561279,0.000561279,0.000561279
69,20590.1,0.10989,0.44078,0.9158,0.9459,0.92223,0.97847,0.96512,0.27174,0.44537,0.39842,0.000544776,0.000544776,0.000544776
70,20904,0.10079,0.43194,0.90868,0.93653,0.93903,0.98507,0.98364,0.21726,0.45535,0.32589,0.000528272,0.000528272,0.000528272
71,21210.9,0.10078,0.43784,0.91574,0.7738,0.90674,0.90338,0.89399,0.26697,0.6484,0.38785,0.000511769,0.000511769,0.000511769
72,21511,0.10496,0.41041,0.91154,0.77433,0.94096,0.96974,0.96797,0.22188,0.62095,0.34986,0.000495266,0.000495266,0.000495266
73,21810.2,0.09806,0.40882,0.92276,0.91519,0.91095,0.98122,0.98084,0.26117,0.45959,0.38609,0.000478762,0.000478762,0.000478762
74,22113.1,0.09412,0.42085,0.91163,0.88165,0.91157,0.96097,0.95944,0.23442,0.54157,0.36083,0.000462259,0.000462259,0.000462259
75,22419.7,0.09159,0.40829,0.91273,0.86298,0.9108,0.94753,0.94429,0.24052,0.54304,0.36009,0.000445756,0.000445756,0.000445756
76,22722.4,0.0955,0.42139,0.91707,0.70022,0.93517,0.93962,0.93312,0.25849,0.89719,0.36659,0.000429253,0.000429253,0.000429253
77,23027.5,0.09315,0.40104,0.91063,0.86082,0.91644,0.95713,0.95561,0.24242,0.477,0.34756,0.000412749,0.000412749,0.000412749
78,23344.9,0.09822,0.40244,0.91615,0.96622,0.96903,0.98847,0.98064,0.21286,0.3369,0.34359,0.000396246,0.000396246,0.000396246
79,23648.9,0.09247,0.4181,0.91042,0.78836,0.92763,0.9762,0.97428,0.25209,0.89456,0.37287,0.000379743,0.000379743,0.000379743
80,23951.1,0.08615,0.40421,0.90702,0.91386,0.95391,0.98355,0.97011,0.28692,0.44621,0.41163,0.000363239,0.000363239,0.000363239
81,24257.3,0.10105,0.41022,0.92926,0.91385,0.92845,0.97834,0.9779,0.22771,0.45703,0.33388,0.000346736,0.000346736,0.000346736
82,24559.3,0.09117,0.40245,0.91207,0.7931,0.7409,0.89973,0.89973,0.21917,1.68241,0.31494,0.000330233,0.000330233,0.000330233
83,24861,0.08695,0.40363,0.9148,0.71489,0.79605,0.84249,0.84249,0.23427,1.24029,0.3339,0.000313729,0.000313729,0.000313729
84,25161,0.09014,0.41514,0.91387,0.93267,0.94275,0.97946,0.97471,0.25965,0.42078,0.38742,0.000297226,0.000297226,0.000297226
85,25459.1,0.08435,0.40862,0.90316,0.94373,0.94449,0.9837,0.97919,0.25453,0.43258,0.37875,0.000280723,0.000280723,0.000280723
86,25763.3,0.08422,0.40716,0.90914,0.88889,0.97222,0.98434,0.97809,0.28125,0.44847,0.40321,0.00026422,0.00026422,0.00026422
87,26071.8,0.08175,0.39589,0.90255,0.96615,0.96464,0.98701,0.98631,0.25711,0.39178,0.37514,0.000247716,0.000247716,0.000247716
88,26388.7,0.08005,0.37737,0.9016,0.91539,0.96481,0.98212,0.98171,0.24279,0.42358,0.35395,0.000231213,0.000231213,0.000231213
89,26694,0.08198,0.37679,0.9188,0.91708,0.97191,0.9838,0.98306,0.25568,0.41736,0.37786,0.00021471,0.00021471,0.00021471
90,26985.5,0.08453,0.36178,0.91665,0.94692,0.94929,0.98601,0.98551,0.24775,0.40123,0.35738,0.000198206,0.000198206,0.000198206
91,27267.5,0.09525,0.50365,0.95863,0.64979,0.86326,0.8938,0.89349,0.20923,1.07456,0.31545,0.000181703,0.000181703,0.000181703
92,27549.8,0.04601,0.16113,0.91657,0.89049,0.92682,0.95836,0.95836,0.21223,0.48982,0.29192,0.0001652,0.0001652,0.0001652
93,27830,0.04125,0.15083,0.89604,0.94856,0.94062,0.98632,0.98616,0.22117,0.4385,0.32437,0.000148696,0.000148696,0.000148696
94,28110.7,0.04184,0.15248,0.8987,0.95657,0.98009,0.99117,0.99096,0.21637,0.39114,0.31532,0.000132193,0.000132193,0.000132193
95,28393.3,0.03451,0.1483,0.90138,0.95981,0.97204,0.99058,0.99006,0.22689,0.3888,0.33107,0.00011569,0.00011569,0.00011569
96,28672.7,0.033,0.13025,0.90812,0.88142,0.94079,0.98347,0.98347,0.2259,0.46108,0.32561,9.91865e-05,9.91865e-05,9.91865e-05
97,28955.7,0.03375,0.13471,0.89817,0.93732,0.98026,0.99081,0.99081,0.2335,0.42953,0.33824,8.26832e-05,8.26832e-05,8.26832e-05
98,29236.7,0.0336,0.14145,0.89874,0.9688,0.96942,0.98989,0.98971,0.22835,0.4117,0.32801,6.61799e-05,6.61799e-05,6.61799e-05
99,29533.9,0.03237,0.1018,0.91106,0.93591,0.98122,0.98946,0.98927,0.22659,0.41258,0.3261,4.96766e-05,4.96766e-05,4.96766e-05
100,29817,0.03141,0.12189,0.89589,0.95614,0.9566,0.99042,0.98998,0.23659,0.41627,0.33695,3.31733e-05,3.31733e-05,3.31733e-05
